individual	left	right	length	bin
EUR_7	30527970	30531255	3285	1
EUR_7	31397377	31429485	32108	5
EUR_7	36251755	36322999	71244	9
EUR_7	36520464	36570547	50083	7
EUR_7	41000258	41199187	198929	26
EUR_7	2097738	2134513	36775	5
EUR_7	2183069	2207970	24901	4
EUR_7	3629717	3635080	5363	1
EUR_7	6721990	6730412	8422	2
EUR_7	10436488	10459002	22514	3
EUR_7	11216018	11305525	89507	12
EUR_7	11360944	11448832	87888	12
EUR_7	13931470	13965545	34075	5
EUR_7	19529137	19572494	43357	6
EUR_7	25002639	25038480	35841	5
EUR_7	25042635	25096390	53755	7
EUR_7	25271432	25303883	32451	5
EUR_7	25449426	25457748	8322	2
EUR_7	25563637	25602105	38468	5
EUR_7	27889466	27920486	31020	4
EUR_7	31345291	31351416	6125	1
EUR_7	31400738	31499618	98880	13
EUR_7	32646010	32653956	7946	1
EUR_7	36004808	36045432	40624	6
EUR_7	40538208	40541166	2958	1
EUR_7	46286724	46289421	2697	1
EUR_7	47306832	47334656	27824	4
EUR_7	48317426	48338230	20804	3
EUR_8	3104088	3104808	720	1
EUR_8	3988003	3992665	4662	1
EUR_8	5430664	5442656	11992	2
EUR_8	10306597	10382930	76333	10
EUR_8	10506272	10515574	9302	2
EUR_8	11112002	11124106	12104	2
EUR_8	11216018	11300483	84465	11
EUR_8	11360944	11376232	15288	2
EUR_8	11382827	11448832	66005	9
EUR_8	14342828	14370739	27911	4
EUR_8	15159254	15187887	28633	4
EUR_8	15349260	15358737	9477	2
EUR_8	17795981	17983358	187377	24
EUR_8	23598533	23685874	87341	12
EUR_8	25348863	25395086	46223	6
EUR_8	25513659	25588077	74418	10
EUR_8	31458689	31553001	94312	12
EUR_8	31969301	31982644	13343	2
EUR_8	41170307	41185884	15577	2
EUR_8	45278228	45291241	13013	2
EUR_8	46234794	46426354	191560	25
EUR_8	864720	887567	22847	3
EUR_8	1930497	2111905	181408	23
EUR_8	2183069	2207970	24901	4
EUR_8	2586193	2591704	5511	1
EUR_8	6721990	6730412	8422	2
EUR_8	7671170	7767372	96202	13
EUR_8	10600195	10600945	750	1
EUR_8	11237395	11305525	68130	9
EUR_8	11360944	11401880	40936	6
EUR_8	11554510	11705104	150594	20
EUR_8	13779593	13917230	137637	18
EUR_8	17047555	17049268	1713	1
EUR_8	25429461	25542673	113212	15
EUR_8	30527970	30531255	3285	1
EUR_8	31379113	31417248	38135	5
EUR_8	31531414	31553001	21587	3
EUR_8	31969301	31982644	13343	2
EUR_8	32303024	32338373	35349	5
EUR_8	32404436	32427441	23005	3
EUR_8	36498078	36506563	8485	2
EUR_8	40596350	40597157	807	1
EUR_8	41000258	41199187	198929	26
EUR_8	48317426	48338230	20804	3
EUR_9	1166368	1310286	143918	19
EUR_9	1662412	1896093	233681	30
EUR_9	1960680	2062085	101405	13
EUR_9	2586193	2591704	5511	1
EUR_9	4048372	4055814	7442	1
EUR_9	6602745	6607910	5165	1
EUR_9	6632925	6705310	72385	10
EUR_9	11112002	11117853	5851	1
EUR_9	11266596	11305525	38929	5
EUR_9	11360944	11448832	87888	12
EUR_9	13126809	13266111	139302	18
EUR_9	15159254	15187887	28633	4
EUR_9	15349260	15371253	21993	3
EUR_9	17795981	17960904	164923	21
EUR_9	25296870	25395086	98216	13
EUR_9	25513659	25588077	74418	10
EUR_9	31397377	31420442	23065	3
EUR_9	31618281	31684536	66255	9
EUR_9	33115326	33138568	23242	3
EUR_9	40589603	40602975	13372	2
EUR_9	41000258	41062323	62065	8
EUR_9	41896558	41897997	1439	1
EUR_9	48317426	48338230	20804	3
EUR_9	1930497	2038598	108101	14
EUR_9	2105113	2106323	1210	1
EUR_9	2586193	2587997	1804	1
EUR_9	3040653	3231239	190586	25
EUR_9	4310596	4327436	16840	3
